Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1444444,08/10/2021,West,Arizona,Phoenix,Women's Street Footwear,115.65,1161,134269.65,39985.5,29.78,In-Store
Foot Locker,1000000,08/10/2021,South,Louisiana,New Orleans,Men's Street Footwear,122.26,769,94017.94,28656.67,30.48,Online
Kohl's,1444444,08/10/2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,134.95,271,36571.45,15970.75,43.67,In-Store
Amazon,1111111,08/10/2021,West,Oregon,Eugene,Women's Street Footwear,97.2,311,30229.2,14957.41,49.48,In-Store
Walmart,1222222,08/10/2021,Midwest,Illinois,Chicago,Men's Athletic Footwear,116.05,71,8239.55,2877.25,34.92,Outlet
Amazon,1111111,08/10/2021,Northeast,Massachusetts,Worcester,Women's Athletic Footwear,138.95,886,123109.7,55288.57,44.91,Outlet
Kohl's,1444444,08/10/2021,Midwest,Michigan,Grand Rapids,Women's Athletic Footwear,117.44,574,67410.56,20142.28,29.88,Online
Finish Line,1666666,08/10/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,125.73,312,39227.76,15134.07,38.58,Outlet
Sports Direct,1333333,08/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,105.82,883,93439.06,44084.55,47.18,Online
West Gear,1555555,08/10/2021,Southeast,Virginia,Virginia Beach,Men's Apparel,44.67,374,16706.58,5698.61,34.11,Online
Kohl's,1444444,08/11/2020,South,Mississippi,Jackson,Women's Street Footwear,84.9,812,68938.8,21005.65,30.47,Online
Kohl's,1444444,08/11/2020,Northeast,Massachusetts,Boston,Women's Athletic Footwear,115.07,741,85266.87,36238.42,42.5,Online
West Gear,1555555,08/11/2020,West,Washington,Seattle,Men's Street Footwear,110.14,319,35134.66,15273.04,43.47,In-Store
Walmart,1222222,08/11/2020,Northeast,Connecticut,New Haven,Men's Apparel,71.3,302,21532.6,10124.63,47.02,Online
Foot Locker,1000000,08/11/2020,Midwest,Wisconsin,Madison,Women's Apparel,88.37,813,71844.81,27157.34,37.8,In-Store
Finish Line,1666666,08/11/2020,West,California,Los Angeles,Women's Street Footwear,70.32,527,37058.64,11795.77,31.83,Online
Sports Direct,1333333,08/11/2020,Northeast,Connecticut,New Haven,Men's Apparel,57.58,233,13416.14,6144.59,45.8,In-Store
West Gear,1555555,08/11/2020,Northeast,Connecticut,New Haven,Men's Street Footwear,117.0,679,79443.0,36925.11,46.48,Online
Finish Line,1666666,08/11/2020,West,Oregon,Eugene,Men's Athletic Footwear,99.87,645,64416.15,23421.71,36.36,In-Store
Foot Locker,1000000,08/11/2020,South,Oklahoma,Tulsa,Women's Street Footwear,71.48,844,60329.12,18237.49,30.23,In-Store
Foot Locker,1000000,08/11/2020,Midwest,Ohio,Cleveland,Women's Apparel,48.21,947,45654.87,17878.45,39.16,In-Store
West Gear,1555555,08/11/2020,West,California,San Francisco,Men's Athletic Footwear,93.68,705,66044.4,18908.51,28.63,Outlet
Sports Direct,1333333,08/11/2021,West,Arizona,Tucson,Women's Street Footwear,103.54,536,55497.44,24346.73,43.87,Outlet
West Gear,1555555,08/11/2021,South,Texas,Dallas,Women's Athletic Footwear,93.4,181,16905.4,7583.76,44.86,In-Store
Amazon,1111111,08/11/2021,Northeast,Pennsylvania,Pittsburgh,Men's Street Footwear,102.41,966,98928.06,34822.68,35.2,Online
Foot Locker,1000000,08/11/2021,Southeast,North Carolina,Raleigh,Women's Athletic Footwear,102.84,666,68491.44,28574.63,41.72,In-Store
Foot Locker,1000000,08/11/2021,South,Oklahoma,Tulsa,Men's Apparel,80.44,298,23971.12,11465.39,47.83,Online
West Gear,1555555,08/11/2021,Northeast,Connecticut,New Haven,Men's Apparel,67.67,264,17864.88,6286.65,35.19,In-Store
Foot Locker,1000000,08/11/2021,West,Oregon,Eugene,Women's Athletic Footwear,81.82,485,39682.7,13349.26,33.64,Outlet
Sports Direct,1333333,08/11/2021,West,Arizona,Phoenix,Men's Apparel,72.83,461,33574.63,12731.5,37.92,In-Store
Walmart,1222222,08/11/2021,Southeast,Tennessee,Nashville,Men's Street Footwear,101.16,559,56548.44,21160.43,37.42,Online
Finish Line,1666666,08/12/2020,Southeast,Florida,Miami,Men's Street Footwear,94.07,154,14486.78,4728.48,32.64,Outlet
Foot Locker,1000000,08/12/2020,South,Louisiana,Baton Rouge,Women's Apparel,40.86,804,32851.44,12624.81,38.43,Outlet
Sports Direct,1333333,08/12/2020,Northeast,New York,Buffalo,Women's Street Footwear,113.16,815,92225.4,30010.15,32.54,In-Store
Amazon,1111111,08/12/2020,Midwest,Ohio,Cleveland,Men's Street Footwear,100.35,605,60711.75,26919.59,44.34,Online
Foot Locker,1000000,08/12/2020,Midwest,Indiana,Fort Wayne,Women's Athletic Footwear,85.93,66,5671.38,1665.68,29.37,Online
Foot Locker,1000000,08/12/2020,Northeast,Massachusetts,Worcester,Women's Street Footwear,79.78,665,53053.7,23969.66,45.18,In-Store
Amazon,1111111,08/12/2020,Northeast,New Jersey,Newark,Men's Street Footwear,129.2,1083,139923.6,40228.03,28.75,Outlet
Sports Direct,1333333,08/12/2020,West,California,San Francisco,Men's Athletic Footwear,119.33,1094,130547.02,43707.14,33.48,In-Store
Kohl's,1444444,08/12/2020,Southeast,Florida,Miami,Women's Apparel,46.03,788,36271.64,13986.34,38.56,In-Store
West Gear,1555555,08/12/2020,Midwest,Illinois,Chicago,Men's Street Footwear,75.95,940,71393.0,26351.16,36.91,In-Store
Foot Locker,1000000,08/12/2020,Northeast,New York,New York City,Men's Street Footwear,70.2,981,68866.2,29027.1,42.15,In-Store
Sports Direct,1333333,08/12/2020,Northeast,Connecticut,New Haven,Women's Athletic Footwear,77.84,377,29345.68,8874.13,30.24,Online
Amazon,1111111,08/12/2020,Northeast,Massachusetts,Boston,Men's Athletic Footwear,143.08,216,30905.28,14534.75,47.03,In-Store
West Gear,1555555,08/12/2021,Southeast,Virginia,Virginia Beach,Women's Apparel,74.53,915,68194.95,22736.2,33.34,In-Store
Kohl's,1444444,08/12/2021,West,Oregon,Portland,Women's Athletic Footwear,128.99,271,34956.29,16300.12,46.63,Outlet
Amazon,1111111,08/12/2021,South,Mississippi,Biloxi,Women's Athletic Footwear,137.09,526,72109.34,29463.88,40.86,In-Store
Amazon,1111111,08/12/2021,West,Oregon,Eugene,Men's Apparel,50.74,249,12634.26,5464.32,43.25,In-Store
Sports Direct,1333333,08/12/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,95.12,841,79995.92,34918.22,43.65,In-Store
Kohl's,1444444,08/12/2021,West,Oregon,Eugene,Women's Athletic Footwear,114.25,672,76776.0,33627.89,43.8,Online
Amazon,1111111,08/12/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,115.43,838,96730.34,39804.53,41.15,In-Store
Walmart,1222222,08/12/2021,Midwest,Ohio,Cleveland,Women's Apparel,45.48,539,24513.72,8962.22,36.56,Online
West Gear,1555555,08/12/2021,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,80.29,398,31955.42,12437.05,38.92,In-Store
West Gear,1555555,08/12/2021,West,Washington,Seattle,Men's Street Footwear,74.58,917,68389.86,26343.77,38.52,In-Store
Finish Line,1666666,08/12/2021,South,Mississippi,Jackson,Men's Apparel,77.63,855,66373.65,25600.32,38.57,In-Store
Walmart,1222222,08/12/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,103.18,878,90592.04,39144.82,43.21,Outlet
Finish Line,1666666,08/12/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,98.67,773,76271.91,24506.16,32.13,Online
Kohl's,1444444,08/12/2021,South,Mississippi,Jackson,Men's Athletic Footwear,135.17,690,93267.3,27579.14,29.57,In-Store
Foot Locker,1000000,08/12/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,81.54,944,76973.76,37186.02,48.31,Outlet
Sports Direct,1333333,08/12/2021,Southeast,Georgia,Savannah,Men's Athletic Footwear,106.72,103,10992.16,4006.64,36.45,Online
Kohl's,1444444,08/13/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,127.92,506,64727.52,27360.32,42.27,Outlet
Amazon,1111111,08/13/2020,Southeast,North Carolina,Raleigh,Women's Street Footwear,105.35,448,47196.8,14583.81,30.9,Outlet
Walmart,1222222,08/13/2020,Midwest,Illinois,Chicago,Women's Apparel,49.63,116,5757.08,1648.83,28.64,Online
Finish Line,1666666,08/13/2020,Midwest,Michigan,Detroit,Women's Apparel,89.67,478,42862.26,20895.35,48.75,Online
Finish Line,1666666,08/13/2020,Midwest,Ohio,Cleveland,Men's Apparel,50.7,570,28899.0,11993.08,41.5,Online
Foot Locker,1000000,08/13/2020,South,Texas,Houston,Men's Athletic Footwear,95.64,273,26109.72,10843.37,41.53,In-Store
Amazon,1111111,08/13/2020,West,Washington,Seattle,Men's Street Footwear,76.65,928,71131.2,29832.43,41.94,Online
Walmart,1222222,08/13/2020,West,Washington,Spokane,Women's Athletic Footwear,124.45,702,87363.9,40903.78,46.82,Outlet
West Gear,1555555,08/13/2020,West,Oregon,Eugene,Women's Apparel,50.23,604,30338.92,13819.38,45.55,In-Store
West Gear,1555555,08/13/2020,South,Mississippi,Biloxi,Women's Street Footwear,74.54,409,30486.86,10566.75,34.66,Online
Sports Direct,1333333,08/13/2020,Northeast,Connecticut,Hartford,Men's Athletic Footwear,87.57,324,28372.68,12135.0,42.77,In-Store
Amazon,1111111,08/13/2021,Northeast,New York,New York City,Women's Athletic Footwear,91.77,728,66808.56,33090.28,49.53,Online
Walmart,1222222,08/13/2021,West,Oregon,Portland,Women's Apparel,66.67,133,8867.11,4003.5,45.15,In-Store
Kohl's,1444444,08/13/2021,Northeast,New Jersey,Newark,Women's Street Footwear,92.09,741,68238.69,19222.84,28.17,Outlet
West Gear,1555555,08/13/2021,West,California,San Francisco,Women's Athletic Footwear,103.61,683,70765.63,27464.14,38.81,In-Store
Sports Direct,1333333,08/13/2021,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,102.57,504,51695.28,17333.43,33.53,Online
Kohl's,1444444,08/13/2021,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,84.16,1059,89125.44,25115.55,28.18,In-Store
Kohl's,1444444,08/13/2021,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,104.26,773,80592.98,37467.68,46.49,Outlet
West Gear,1555555,08/13/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,147.34,523,77058.82,28319.12,36.75,Outlet
West Gear,1555555,08/13/2021,South,Texas,Dallas,Women's Street Footwear,110.65,242,26777.3,10981.37,41.01,Online
Amazon,1111111,08/13/2021,West,California,San Diego,Women's Street Footwear,105.06,292,30677.52,9675.69,31.54,Outlet
West Gear,1555555,08/14/2020,Southeast,Virginia,Virginia Beach,Women's Street Footwear,67.49,116,7828.84,2716.61,34.7,In-Store
Foot Locker,1000000,08/14/2020,Northeast,New York,New York City,Women's Athletic Footwear,112.14,965,108215.1,51607.78,47.69,Outlet
Foot Locker,1000000,08/14/2020,South,Mississippi,Biloxi,Women's Athletic Footwear,118.92,870,103460.4,48791.92,47.16,Outlet
Sports Direct,1333333,08/14/2020,Midwest,Illinois,Springfield,Women's Athletic Footwear,99.45,135,13425.75,6259.08,46.62,In-Store
Amazon,1111111,08/14/2020,West,Nevada,Las Vegas,Women's Athletic Footwear,125.14,1179,147540.06,59340.61,40.22,In-Store
Finish Line,1666666,08/14/2020,Northeast,Connecticut,Hartford,Women's Street Footwear,90.36,902,81504.72,39717.25,48.73,In-Store
Sports Direct,1333333,08/14/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,141.54,724,102474.96,29215.61,28.51,Online
Sports Direct,1333333,08/14/2021,Northeast,Pennsylvania,Pittsburgh,Men's Athletic Footwear,82.34,119,9798.46,3968.38,40.5,Online
Sports Direct,1333333,08/14/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,149.7,840,125748.0,48312.38,38.42,Online
Foot Locker,1000000,08/14/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,76.08,689,52419.12,16831.78,32.11,In-Store
Amazon,1111111,08/14/2021,South,Arkansas,Fayetteville,Women's Athletic Footwear,134.84,565,76184.6,32035.62,42.05,In-Store
Kohl's,1444444,08/14/2021,Northeast,Pennsylvania,Pittsburgh,Men's Apparel,40.89,458,18727.62,7944.26,42.42,Online
Sports Direct,1333333,08/14/2021,South,Mississippi,Jackson,Men's Street Footwear,113.98,462,52658.76,21037.17,39.95,Online
West Gear,1555555,08/14/2021,Southeast,Tennessee,Nashville,Women's Apparel,47.0,788,37036.0,11584.86,31.28,Outlet
Kohl's,1444444,08/14/2021,West,Oregon,Eugene,Women's Street Footwear,105.61,969,102336.09,29472.79,28.8,Online
Sports Direct,1333333,08/14/2021,Northeast,New Jersey,Jersey City,Men's Athletic Footwear,149.57,205,30661.85,11019.87,35.94,Outlet
Foot Locker,1000000,08/14/2021,West,California,San Diego,Women's Street Footwear,88.69,406,36008.14,12941.33,35.94,In-Store
West Gear,1555555,08/14/2021,Southeast,Georgia,Savannah,Women's Apparel,46.53,781,36339.93,13318.58,36.65,Outlet
Walmart,1222222,08/14/2021,South,Louisiana,New Orleans,Men's Street Footwear,114.85,266,30550.1,15162.01,49.63,In-Store
Finish Line,1666666,08/14/2021,West,Washington,Seattle,Men's Apparel,47.4,210,9954.0,4270.27,42.9,Outlet
Finish Line,1666666,08/14/2021,Southeast,Georgia,Savannah,Men's Athletic Footwear,99.82,318,31742.76,12344.76,38.89,Outlet
Amazon,1111111,08/14/2021,Southeast,Florida,Miami,Men's Street Footwear,89.45,731,65387.95,22081.51,33.77,In-Store
Walmart,1222222,08/15/2020,West,Nevada,Reno,Women's Apparel,73.0,680,49640.0,17483.21,35.22,In-Store
West Gear,1555555,08/15/2020,West,Nevada,Reno,Women's Athletic Footwear,80.46,965,77643.9,26158.23,33.69,Outlet
Finish Line,1666666,08/15/2020,West,Washington,Seattle,Women's Athletic Footwear,134.74,850,114529.0,46086.47,40.24,Outlet
Amazon,1111111,08/15/2020,Northeast,New Jersey,Newark,Men's Apparel,63.57,136,8645.52,3463.4,40.06,In-Store
Finish Line,1666666,08/15/2020,West,California,San Diego,Women's Street Footwear,109.89,524,57582.36,26729.73,46.42,In-Store
Foot Locker,1000000,08/15/2020,South,Texas,Houston,Women's Athletic Footwear,109.2,1021,111493.2,52769.73,47.33,Online
Walmart,1222222,08/15/2020,Midwest,Ohio,Columbus,Women's Street Footwear,69.38,956,66327.28,31936.59,48.15,In-Store
Kohl's,1444444,08/15/2020,West,Nevada,Las Vegas,Men's Street Footwear,78.25,466,36464.5,13378.83,36.69,Outlet
Kohl's,1444444,08/15/2020,Southeast,North Carolina,Raleigh,Men's Street Footwear,70.61,210,14828.1,6561.43,44.25,In-Store
Foot Locker,1000000,08/15/2020,Midwest,Michigan,Grand Rapids,Women's Apparel,75.93,832,63173.76,27474.27,43.49,In-Store
Kohl's,1444444,08/15/2020,Southeast,North Carolina,Raleigh,Women's Apparel,80.79,115,9290.85,3509.15,37.77,Outlet
Foot Locker,1000000,08/15/2020,West,Arizona,Tucson,Men's Street Footwear,97.36,362,35244.32,16726.95,47.46,Outlet
Foot Locker,1000000,08/15/2020,West,Nevada,Las Vegas,Women's Apparel,63.44,111,7041.84,3259.67,46.29,In-Store
Sports Direct,1333333,08/15/2020,West,California,Los Angeles,Women's Athletic Footwear,117.13,910,106588.3,35621.81,33.42,In-Store
Sports Direct,1333333,08/15/2020,Southeast,Virginia,Virginia Beach,Men's Athletic Footwear,92.38,133,12286.54,4224.11,34.38,In-Store
West Gear,1555555,08/15/2020,Southeast,Florida,Miami,Men's Apparel,52.22,838,43760.36,16760.22,38.3,In-Store
Walmart,1222222,08/15/2020,Midwest,Indiana,Fort Wayne,Men's Athletic Footwear,112.64,433,48773.12,16109.76,33.03,In-Store
Foot Locker,1000000,08/15/2020,West,Arizona,Phoenix,Women's Athletic Footwear,79.84,144,11496.96,4624.08,40.22,In-Store
Finish Line,1666666,08/15/2020,West,Oregon,Portland,Men's Apparel,37.43,178,6662.54,2796.27,41.97,In-Store
Foot Locker,1000000,08/15/2021,West,Washington,Seattle,Men's Athletic Footwear,135.81,709,96289.29,37456.53,38.9,Online
West Gear,1555555,08/15/2021,West,California,San Francisco,Men's Athletic Footwear,96.99,1095,106204.05,33549.86,31.59,Outlet
Finish Line,1666666,08/15/2021,West,Oregon,Eugene,Men's Athletic Footwear,114.49,822,94110.78,28035.6,29.79,Online
Walmart,1222222,08/15/2021,Southeast,Tennessee,Nashville,Women's Apparel,88.15,259,22830.85,9052.43,39.65,In-Store
Foot Locker,1000000,08/15/2021,West,Washington,Seattle,Men's Street Footwear,70.08,743,52069.44,23243.8,44.64,In-Store
Amazon,1111111,08/15/2021,Northeast,New Jersey,Newark,Women's Athletic Footwear,83.37,79,6586.23,2251.83,34.19,Online
Sports Direct,1333333,08/15/2021,Midwest,Indiana,Fort Wayne,Women's Athletic Footwear,76.36,589,44976.04,13524.3,30.07,In-Store
Kohl's,1444444,08/15/2021,Southeast,Florida,Tampa,Men's Athletic Footwear,111.14,661,73463.54,29150.33,39.68,In-Store
Amazon,1111111,08/15/2021,South,Mississippi,Biloxi,Men's Street Footwear,125.86,349,43925.14,17245.01,39.26,In-Store
Walmart,1222222,08/15/2021,West,Oregon,Eugene,Men's Apparel,70.23,674,47335.02,16775.53,35.44,In-Store
Kohl's,1444444,08/15/2021,South,Mississippi,Biloxi,Women's Street Footwear,119.38,755,90131.9,31176.62,34.59,Online
Finish Line,1666666,08/15/2021,Southeast,Tennessee,Nashville,Women's Athletic Footwear,116.23,822,95541.06,42114.5,44.08,Outlet
Kohl's,1444444,08/15/2021,West,Oregon,Portland,Men's Street Footwear,97.04,791,76758.64,23871.94,31.1,Outlet
Amazon,1111111,08/15/2021,Northeast,New York,New York City,Men's Street Footwear,83.54,730,60984.2,24960.83,40.93,Online
Foot Locker,1000000,08/15/2021,South,Mississippi,Biloxi,Women's Apparel,81.69,767,62656.23,27449.69,43.81,Online
West Gear,1555555,08/16/2020,Southeast,North Carolina,Raleigh,Women's Athletic Footwear,128.4,546,70106.4,33405.7,47.65,In-Store
Finish Line,1666666,08/16/2020,Southeast,North Carolina,Raleigh,Men's Athletic Footwear,90.23,435,39250.05,19252.15,49.05,Online
Foot Locker,1000000,08/16/2020,Southeast,North Carolina,Charlotte,Women's Apparel,55.63,727,40443.01,18712.98,46.27,Online
West Gear,1555555,08/16/2020,Southeast,Georgia,Atlanta,Women's Apparel,65.85,223,14684.55,6685.88,45.53,In-Store
Foot Locker,1000000,08/16/2020,West,California,San Francisco,Women's Street Footwear,102.71,953,97882.63,29433.31,30.07,Online
Sports Direct,1333333,08/16/2020,South,Louisiana,New Orleans,Men's Apparel,69.51,642,44625.42,18461.54,41.37,Online
Kohl's,1444444,08/16/2020,Southeast,Georgia,Savannah,Men's Athletic Footwear,149.98,1018,152679.64,63774.29,41.77,Outlet
Kohl's,1444444,08/16/2020,West,California,Los Angeles,Men's Apparel,43.17,586,25297.62,10430.21,41.23,In-Store
Sports Direct,1333333,08/16/2020,Midwest,Illinois,Chicago,Women's Street Footwear,76.53,109,8341.77,2746.94,32.93,Online
Kohl's,1444444,08/16/2020,West,Nevada,Las Vegas,Women's Apparel,48.36,215,10397.4,3056.84,29.4,In-Store
Foot Locker,1000000,08/16/2020,Southeast,Tennessee,Memphis,Women's Street Footwear,112.97,332,37506.04,14979.91,39.94,Online
Walmart,1222222,08/16/2020,Southeast,Florida,Miami,Women's Apparel,64.78,534,34592.52,13705.56,39.62,Online
Foot Locker,1000000,08/16/2020,West,Nevada,Reno,Women's Athletic Footwear,88.65,426,37764.9,15340.1,40.62,In-Store
West Gear,1555555,08/16/2021,South,Texas,Dallas,Men's Athletic Footwear,146.6,592,86787.2,28648.45,33.01,Outlet
Walmart,1222222,08/16/2021,Northeast,New Jersey,Jersey City,Women's Street Footwear,74.81,267,19974.27,5776.56,28.92,In-Store
Sports Direct,1333333,08/16/2021,West,Nevada,Reno,Men's Street Footwear,110.1,1094,120449.4,48360.43,40.15,Outlet
West Gear,1555555,08/16/2021,South,Mississippi,Jackson,Women's Apparel,43.28,119,5150.32,2257.39,43.83,In-Store
Finish Line,1666666,08/16/2021,Southeast,North Carolina,Raleigh,Men's Street Footwear,113.01,87,9831.87,3401.83,34.6,In-Store
Walmart,1222222,08/16/2021,West,Oregon,Eugene,Women's Apparel,89.36,945,84445.2,39630.13,46.93,In-Store
Finish Line,1666666,08/16/2021,Southeast,Tennessee,Memphis,Men's Athletic Footwear,132.96,703,93470.88,27041.13,28.93,Online
Amazon,1111111,08/16/2021,West,Nevada,Reno,Men's Street Footwear,76.7,270,20709.0,6481.92,31.3,Outlet
Finish Line,1666666,08/16/2021,West,Oregon,Eugene,Women's Street Footwear,84.01,931,78213.31,30385.87,38.85,Online
Finish Line,1666666,08/16/2021,West,California,Los Angeles,Women's Street Footwear,116.77,368,42971.36,16041.21,37.33,In-Store
Finish Line,1666666,08/16/2021,Southeast,Florida,Miami,Women's Athletic Footwear,118.75,128,15200.0,5716.72,37.61,Outlet
West Gear,1555555,08/17/2020,South,Louisiana,New Orleans,Men's Street Footwear,80.14,550,44077.0,19235.2,43.64,Online
Walmart,1222222,08/17/2020,West,Arizona,Tucson,Women's Street Footwear,115.45,576,66499.2,30157.39,45.35,In-Store
Finish Line,1666666,08/17/2020,Northeast,Massachusetts,Worcester,Men's Street Footwear,103.42,278,28750.76,13446.73,46.77,Online
Kohl's,1444444,08/17/2020,Midwest,Michigan,Grand Rapids,Men's Street Footwear,109.99,248,27277.52,8213.26,30.11,Outlet
Kohl's,1444444,08/17/2020,West,Arizona,Tucson,Women's Street Footwear,86.41,157,13566.37,4147.24,30.57,Outlet
Foot Locker,1000000,08/17/2020,Midwest,Wisconsin,Madison,Women's Street Footwear,111.58,555,61926.9,22529.01,36.38,Online
Walmart,1222222,08/17/2020,West,Washington,Spokane,Women's Street Footwear,84.47,1161,98069.67,46906.72,47.83,Outlet
Walmart,1222222,08/17/2020,West,California,Los Angeles,Men's Apparel,67.05,591,39626.55,18493.71,46.67,In-Store
Sports Direct,1333333,08/17/2020,West,Washington,Spokane,Women's Athletic Footwear,92.89,1124,104408.36,32825.99,31.44,In-Store
Walmart,1222222,08/17/2020,Southeast,Georgia,Savannah,Women's Athletic Footwear,138.64,247,34244.08,16354.97,47.76,Outlet
Walmart,1222222,08/17/2020,West,Oregon,Eugene,Men's Street Footwear,77.59,323,25061.57,9272.78,37.0,In-Store
Finish Line,1666666,08/17/2020,West,Arizona,Phoenix,Women's Athletic Footwear,102.43,935,95772.05,36719.0,38.34,In-Store
West Gear,1555555,08/17/2020,Midwest,Ohio,Cleveland,Women's Athletic Footwear,114.85,745,85563.25,41549.51,48.56,Online
West Gear,1555555,08/17/2020,Southeast,Virginia,Richmond,Women's Athletic Footwear,95.76,707,67702.32,33350.16,49.26,Outlet
Finish Line,1666666,08/17/2020,West,Oregon,Portland,Women's Athletic Footwear,100.1,381,38138.1,14202.63,37.24,In-Store
Kohl's,1444444,08/17/2020,Southeast,Georgia,Savannah,Women's Apparel,76.91,871,66988.61,27398.34,40.9,Online
Walmart,1222222,08/17/2020,West,Nevada,Reno,Women's Apparel,75.09,583,43777.47,16101.35,36.78,Outlet
Amazon,1111111,08/17/2020,West,Nevada,Reno,Men's Street Footwear,120.2,888,106737.6,31914.54,29.9,In-Store
West Gear,1555555,08/17/2020,West,Oregon,Eugene,Women's Athletic Footwear,92.03,1087,100036.61,35853.12,35.84,Online
Sports Direct,1333333,08/17/2020,West,Washington,Spokane,Women's Street Footwear,104.14,833,86748.62,36295.62,41.84,Online
Amazon,1111111,08/17/2021,Northeast,Massachusetts,Worcester,Women's Athletic Footwear,81.5,932,75958.0,22437.99,29.54,Online
West Gear,1555555,08/17/2021,Southeast,Tennessee,Nashville,Men's Athletic Footwear,145.13,730,105944.9,32461.52,30.64,Outlet
West Gear,1555555,08/17/2021,Northeast,Massachusetts,Boston,Women's Street Footwear,82.27,350,28794.5,11820.14,41.05,Online
West Gear,1555555,08/17/2021,South,Mississippi,Jackson,Men's Apparel,53.92,937,50523.04,21664.28,42.88,Outlet
Kohl's,1444444,08/17/2021,Midwest,Ohio,Columbus,Women's Apparel,45.95,71,3262.45,1141.53,34.99,In-Store
Sports Direct,1333333,08/17/2021,South,Louisiana,New Orleans,Women's Apparel,79.54,943,75006.22,26627.21,35.5,In-Store
Foot Locker,1000000,08/17/2021,Northeast,New York,New York City,Men's Street Footwear,71.86,929,66757.94,28639.16,42.9,In-Store
Foot Locker,1000000,08/17/2021,Southeast,Georgia,Savannah,Men's Street Footwear,90.66,518,46961.88,21048.31,44.82,In-Store
Finish Line,1666666,08/17/2021,West,Arizona,Phoenix,Men's Street Footwear,119.77,478,57250.06,21657.7,37.83,In-Store
Walmart,1222222,08/17/2021,West,Nevada,Las Vegas,Men's Apparel,57.41,712,40875.92,19992.41,48.91,In-Store
Foot Locker,1000000,08/17/2021,West,Washington,Seattle,Men's Street Footwear,124.82,331,41315.42,15922.96,38.54,Outlet
Finish Line,1666666,08/17/2021,Northeast,Connecticut,New Haven,Women's Athletic Footwear,82.38,745,61373.1,21449.9,34.95,Outlet
Kohl's,1444444,08/17/2021,West,Arizona,Phoenix,Women's Street Footwear,96.45,221,21315.45,9020.7,42.32,In-Store
Kohl's,1444444,08/17/2021,West,Nevada,Reno,Women's Street Footwear,101.16,562,56851.92,19045.39,33.5,In-Store
West Gear,1555555,08/17/2021,Midwest,Ohio,Cleveland,Men's Athletic Footwear,109.39,822,89918.58,36803.67,40.93,Outlet
Kohl's,1444444,08/17/2021,West,Washington,Spokane,Women's Street Footwear,75.32,622,46849.04,17999.4,38.42,Outlet
Walmart,1222222,08/17/2021,South,Arkansas,Fayetteville,Men's Street Footwear,122.37,587,71831.19,22899.78,31.88,Outlet
Kohl's,1444444,08/17/2021,West,Oregon,Portland,Women's Street Footwear,111.34,1088,121137.92,49436.39,40.81,Online
Kohl's,1444444,08/18/2020,West,California,San Diego,Women's Apparel,40.36,1149,46373.64,19421.28,41.88,Online
Kohl's,1444444,08/18/2020,South,Louisiana,Baton Rouge,Men's Athletic Footwear,125.22,907,113574.54,35730.55,31.46,Outlet
West Gear,1555555,08/18/2020,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,81.35,498,40512.3,18951.65,46.78,Online
Sports Direct,1333333,08/18/2020,Midwest,Illinois,Chicago,Men's Street Footwear,113.43,1004,113883.72,33527.37,29.44,Online
West Gear,1555555,08/18/2020,South,Louisiana,Baton Rouge,Women's Street Footwear,82.61,846,69888.06,31107.18,44.51,Outlet
Kohl's,1444444,08/18/2020,West,Nevada,Las Vegas,Women's Athletic Footwear,137.81,651,89714.31,29668.52,33.07,Outlet
Foot Locker,1000000,08/18/2020,West,Oregon,Portland,Men's Street Footwear,87.88,941,82695.08,32606.67,39.43,In-Store
West Gear,1555555,08/18/2020,West,California,Los Angeles,Men's Athletic Footwear,125.95,680,85646.0,25119.97,29.33,In-Store
Walmart,1222222,08/18/2020,Northeast,Connecticut,New Haven,Women's Athletic Footwear,99.36,493,48984.48,14372.05,29.34,Online
Walmart,1222222,08/18/2020,South,Louisiana,Baton Rouge,Women's Street Footwear,69.37,168,11654.16,4584.75,39.34,In-Store
Walmart,1222222,08/18/2021,Northeast,New York,New York City,Women's Athletic Footwear,106.09,684,72565.56,21646.31,29.83,In-Store
Sports Direct,1333333,08/18/2021,Southeast,North Carolina,Raleigh,Men's Apparel,65.58,567,37183.86,18398.57,49.48,Online
Kohl's,1444444,08/18/2021,West,Nevada,Reno,Women's Street Footwear,102.68,788,80911.84,29192.99,36.08,In-Store
